tahun;provinsi;kota/kabupaten;luas wilayah (km2);luas wilayah rth (km2);%rth(b/a)
2020;DKI Jakarta;Kota Adm. Jakarta Utara;140.00;337.358;2.41
2020;DKI Jakarta;Kota Adm. Jakarta Barat;124.40;0.05275;0.04
2020;DKI Jakarta;Kab. Adm. Kep. Seribu;8.70;0.11535;1.33
2020;DKI Jakarta;Kota Adm. Jakarta Selatan;154.30;;
2020;DKI Jakarta;Kota Adm. Jakarta Pusat;48.13;0.83096;1.73
2020;DKI Jakarta;Kota Adm. Jakarta Timur;182.70;350.679;1.92
2021;DKI Jakarta;Kota Adm. Jakarta Barat;124.40;0.02241;0.02
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;8.70;289.867;33.32
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;141.27;175.297;1.24
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;48.13;0.83770;1.74
2021;DKI Jakarta;Kota Adm. Jakarta Timur;182.70;0.12129;0.07
2021;DKI Jakarta;Kota Adm. Jakarta Utara;140.00;155.831;1.11
2022;DKI Jakarta;Kota Adm. Jakarta Barat;124.40;0.02241;0.02
2022;DKI Jakarta;Kab. Adm. Kep. Seribu;8.70;290.631;33.41
2022;DKI Jakarta;Kota Adm. Jakarta Selatan;141.27;326.880;2.31
2022;DKI Jakarta;Kota Adm. Jakarta Pusat;48.13;0.83750;1.74
2022;DKI Jakarta;Kota Adm. Jakarta Timur;182.70;0.00914;0.01
2022;DKI Jakarta;Kota Adm. Jakarta Utara;140.00;0.83113;0.59
